err;fourier;sep;slepians 4
10;0.9222;0.7456;0.6072
30;0.8299;0.4121;0.2564
50;0.7613;0.2101;0.1383
70;0.7021;0.1209;0.0720
90;0.6500;0.0796;0.0417
110;0.6004;0.0615;0.0327
130;0.5555;0.0506;0.0338
150;0.5141;0.0455;0.0354
170;0.4772;0.0425;0.0366
190;0.4424;0.0412;0.0376
210;0.4089;0.0405;0.0382
230;0.3762;0.0401;0.0386
250;0.3455;0.0398;0.0391
270;0.3168;0.0399;0.0393
290;0.2889;0.0398;0.0395
310;0.2619;0.0398;0.0396
330;0.2369;0.0399;0.0397
350;0.2131;0.0398;0.0397
370;0.1900;0.0398;0.0397
390;0.1680;0.0398;0.0397
410;0.1474;0.0398;0.0397
430;0.1291;0.0398;0.0397
450;0.1117;0.0398;0.0397
470;0.0962;0.0398;0.0397
490;0.0836;0.0398;0.0397
